STAGE,DATASET,ROI,ROI_T,HPF,ANG,ANG_CORR,IL_ANG,DEG_IL,DEG_IL_CORR,DEG_IL_CORR-2,REGION,NOTES,,,,,,,,,,,,,,,
38,WT1,1,4,,-13.134,166.866,30.44,136.426,136.426,43.574,A,,,,,,,,,,,,,,,,
38,WT1,2,4,,-107.879,72.121,30.44,41.681,41.681,138.319,A,,,,,,,,,,,,,,,,
38,WT1,3,4,,-7.125,172.875,30.44,142.435,142.435,37.565,A,,,,,,,,,,,,,,,,
38,WT1,4,6,,-94.97,85.03,30.44,54.59,54.59,125.41,IL-P,,,,,,,,,,,,,,,,
38,WT1,5,8,,25.017,25.017,30.44,-5.423,174.577,5.423,A,,,,,,,,,,,,,,,,
38,WT1,6,7,,-125.538,54.462,30.44,24.022,24.022,155.978,P,,,,,,,,,,,,,,,,
38,WT1,7,7,,-31.608,148.392,30.44,117.952,117.952,62.048,IL-P,,,,,,,,,,,,,,,,
38,WT1,8,11,,-66.501,113.499,30.44,83.059,83.059,96.941,IL-P,*Spindle rotated before division,,,,,,,,,,,,,,,
38,WT1,9,12,,75.466,75.466,30.44,45.026,45.026,134.974,P,,,,,,,,,,,,,,,,
38,WT1,10,13,,-42.614,137.386,30.44,106.946,106.946,73.054,P,,,,,,,,,,,,,,,,
38,WT1,11,13,,-54.462,125.538,30.44,95.098,95.098,84.902,IL-A,,,,,,,,,,,,,,,,
38,WT1,12,13,,45,45,30.44,14.56,14.56,165.44,IL-P,,,,,,,,,,,,,,,,
38,WT1,13,14,,-41.987,138.013,30.44,107.573,107.573,72.427,IL-P,*Spindle rotated before division,,,,,,,,,,,,,,,
38,WT1,14,14,,-50.906,129.094,30.44,98.654,98.654,81.346,P,,,,,,,,,,,,,,,,
38,WT1,15,14,,-88.091,91.909,30.44,61.469,61.469,118.531,A,*Spindle rotated before division,,,,,,,,,,,,,,,
38,WT1,16,14,,-96.71,83.29,30.44,52.85,52.85,127.15,A,*Spindle rotated before division,,,,,,,,,,,,,,,
38,WT1,17,16,,-106.189,73.811,30.44,43.371,43.371,136.629,A,,,,,,,,,,,,,,,,
38,WT1,18,16,,-132.274,47.726,30.44,17.286,17.286,162.714,P,,,,,,,,,,,,,,,,
38,WT1,19,15,,-28.811,151.189,30.44,120.749,120.749,59.251,P,,,,,,,,,,,,,,,,
38,WT1,20,17,,-130.101,49.899,30.44,19.459,19.459,160.541,P,,,,,,,,,,,,,,,,
38,WT1,21,17,,-125.838,54.162,30.44,23.722,23.722,156.278,P,,,,,,,,,,,,,,,,
38,WT1,22,18,,-45,135,30.44,104.56,104.56,75.44,IL-P,,,,,,,,,,,,,,,,
38,WT1,23,17,,-46.397,133.603,30.44,103.163,103.163,76.837,A,,,,,,,,,,,,,,,,
38,WT1,24,19,,-130.601,49.399,30.44,18.959,18.959,161.041,P,,,,,,,,,,,,,,,,
38,WT1,25,18,,-119.982,60.018,30.44,29.578,29.578,150.422,A,*Spindle rotated before division,,,,,,,,,,,,,,,
38,WT1,26,16,,56.31,56.31,30.44,25.87,25.87,154.13,A,,,,,,,,,,,,,,,,
38,WT1,27,17,,-95.711,84.289,30.44,53.849,53.849,126.151,A,,,,,,,,,,,,,,,,
38,WT1,28,17,,-84.289,95.711,30.44,65.271,65.271,114.729,A,,,,,,,,,,,,,,,,
38,WT1,29,15,,-69.864,110.136,30.44,79.696,79.696,100.304,A,,,,,,,,,,,,,,,,
38,WT1,30,20,,-7.352,172.648,30.44,142.208,142.208,37.792,IL-P,,,,,,,,,,,,,,,,
38,WT1,31,20,,-61.189,118.811,30.44,88.371,88.371,91.629,IL-P,,,,,,,,,,,,,,,,
38,WT1,32,20,,-66.801,113.199,30.44,82.759,82.759,97.241,A,,,,,,,,,,,,,,,,
38,WT1,33,21,,17.241,17.241,30.44,-13.199,166.801,13.199,A,,,,,,,,,,,,,,,,
38,WT1,34,20,,-81.469,98.531,30.44,68.091,68.091,111.909,P,,,,,,,,,,,,,,,,
38,WT1,35,21,,7.853,7.853,30.44,-22.587,157.413,22.587,P,,,,,,,,,,,,,,,,
38,WT1,36,21,,-20.136,159.864,30.44,129.424,129.424,50.576,IL-A,"Disrupts IL continuity, then resolves (sorting?)",,,,,,,,,,,,,,,
38,WT1,37,21,,-57.724,122.276,30.44,91.836,91.836,88.164,IL-A,,,,,,,,,,,,,,,,
38,WT1,38,21,,17.103,17.103,30.44,-13.337,166.663,13.337,P,,,,,,,,,,,,,,,,
38,WT1,39,21,,-68.199,111.801,30.44,81.361,81.361,98.639,P,,,,,,,,,,,,,,,,
38,WT1,40,20,,2.49,2.49,30.44,-27.95,152.05,27.95,P,,,,,,,,,,,,,,,,
38,WT1,41,21,,22.249,22.249,30.44,-8.191,171.809,8.191,P,,,,,,,,,,,,,,,,
38,WT1,42,22,,-22.479,157.521,30.44,127.081,127.081,52.919,A,,,,,,,,,,,,,,,,
38,WT1,43,22,,-128.928,51.072,30.44,20.632,20.632,159.368,A,,,,,,,,,,,,,,,,
38,WT1,44,17,,-63.435,116.565,30.44,86.125,86.125,93.875,IL-P,,,,,,,,,,,,,,,,
38,WT1,45,22,,-50.528,129.472,30.44,99.032,99.032,80.968,P,,,,,,,,,,,,,,,,
38,WT1,46,23,,-135,45,30.44,14.56,14.56,165.44,P,,,,,,,,,,,,,,,,
38,WT1,47,22,,-58.57,121.43,30.44,90.99,90.99,89.01,P,,,,,,,,,,,,,,,,
38,WT1,48,24,,-55.713,124.287,30.44,93.847,93.847,86.153,IL-A,,,,,,,,,,,,,,,,
38,WT1,49,26,,-74.745,105.255,30.44,74.815,74.815,105.185,P,,,,,,,,,,,,,,,,
38,WT1,50,26,,-55.491,124.509,30.44,94.069,94.069,85.931,P,,,,,,,,,,,,,,,,
38,WT1,51,26,,-64.359,115.641,30.44,85.201,85.201,94.799,IL-A,,,,,,,,,,,,,,,,
38,WT1,52,26,,4.236,4.236,30.44,-26.204,153.796,26.204,IL-A,,,,,,,,,,,,,,,,
38,WT1,53,28,,-8.427,171.573,30.44,141.133,141.133,38.867,A,,,,,,,,,,,,,,,,
38,WT1,54,26,,-74.932,105.068,30.44,74.628,74.628,105.372,A,,,,,,,,,,,,,,,,
38,WT1,55,27,,60.945,60.945,30.44,30.505,30.505,149.495,IL-A,,,,,,,,,,,,,,,,
38,WT1,56,23,,-68.629,111.371,30.44,80.931,80.931,99.069,A,,,,,,,,,,,,,,,,
38,WT1,57,22,,-61.189,118.811,30.44,88.371,88.371,91.629,A,,,,,,,,,,,,,,,,
38,WT1,58,29,,-27.553,152.447,30.44,122.007,122.007,57.993,IL-P,,,,,,,,,,,,,,,,
38,WT1,59,28,,-56.31,123.69,30.44,93.25,93.25,86.75,P,,,,,,,,,,,,,,,,
38,WT1,60,32,,-53.616,126.384,30.44,95.944,95.944,84.056,P,,,,,,,,,,,,,,,,
38,WT1,61,29,,-56.31,123.69,30.44,93.25,93.25,86.75,P,,,,,,,,,,,,,,,,
38,WT1,62,29,,11.768,11.768,30.44,-18.672,161.328,18.672,P,,,,,,,,,,,,,,,,
38,WT1,63,30,,19.44,19.44,30.44,-11,169,11,P,,,,,,,,,,,,,,,,
38,WT1,64,35,,-136.736,43.264,30.44,12.824,12.824,167.176,A,,,,,,,,,,,,,,,,
38,WT1,65,34,,-136.736,43.264,30.44,12.824,12.824,167.176,A,,,,,,,,,,,,,,,,
38,WT1,66,35,,26.565,26.565,30.44,-3.875,176.125,3.875,A,,,,,,,,,,,,,,,,
38,WT1,67,35,,-123.024,56.976,30.44,26.536,26.536,153.464,A,,,,,,,,,,,,,,,,
38,WT1,68,36,,-80.538,99.462,30.44,69.022,69.022,110.978,A,*Spindle rotated before division,,,,,,,,,,,,,,,
38,WT1,69,36,,-60.255,119.745,30.44,89.305,89.305,90.695,A,,,,,,,,,,,,,,,,
38,WT1,70,36,,-98.13,81.87,30.44,51.43,51.43,128.57,A,,,,,,,,,,,,,,,,
38,WT1,71,35,,-59.036,120.964,30.44,90.524,90.524,89.476,A,*Spindle rotated before division,,,,,,,,,,,,,,,
38,WT1,72,35,,-65.376,114.624,30.44,84.184,84.184,95.816,A,*Spindle rotated before division,,,,,,,,,,,,,,,
38,WT1,73,35,,34.38,34.38,30.44,3.94,3.94,176.06,A,,,,,,,,,,,,,,,,
38,WT1,74,33,,2.203,2.203,30.44,-28.237,151.763,28.237,A,,,,,,,,,,,,,,,,
38,WT1,75,35,,-7.595,172.405,30.44,141.965,141.965,38.035,IL-A,Cell divided towards rosette,,,,,,,,,,,,,,,
38,WT1,76,36,,-83.418,96.582,30.44,66.142,66.142,113.858,A,,,,,,,,,,,,,,,,
38,WT1,77,31,,-45,135,30.44,104.56,104.56,75.44,A,,,,,,,,,,,,,,,,
38,WT1,78,25,,-1.637,178.363,30.44,147.923,147.923,32.077,A,,,,,,,,,,,,,,,,
38,WT1,79,25,,-3.814,176.186,30.44,145.746,145.746,34.254,A,*Spindle rotated before division,,,,,,,,,,,,,,,
44,WT1,1,1,,-31.43,148.57,34.756,113.814,113.814,66.186,IL-A,,,,,,,,,,,,,,,,
44,WT1,2,2,,18.104,18.104,34.756,-16.652,163.348,16.652,P,,,,,,,,,,,,,,,,
44,WT1,3,2,,-49.399,130.601,34.756,95.845,95.845,84.155,P,,,,,,,,,,,,,,,,
44,WT1,4,3,,-33.69,146.31,34.756,111.554,111.554,68.446,A,,,,,,,,,,,,,,,,
44,WT1,5,3,,-143.13,36.87,34.756,2.114,2.114,177.886,A,,,,,,,,,,,,,,,,
44,WT1,6,2,,-136.219,43.781,34.756,9.025,9.025,170.975,A,*Spindle rotated before division,,,,,,,,,,,,,,,
44,WT1,7,3,,-3.489,176.511,34.756,141.755,141.755,38.245,A,,,,,,,,,,,,,,,,
44,WT1,8,5,,23.552,23.552,34.756,-11.204,168.796,11.204,IL-A,,,,,,,,,,,,,,,,
44,WT1,9,6,,-69.677,110.323,34.756,75.567,75.567,104.433,A,,,,,,,,,,,,,,,,
44,WT1,10,6,,-11.821,168.179,34.756,133.423,133.423,46.577,A,,,,,,,,,,,,,,,,
44,WT1,11,3,,-124.778,55.222,34.756,20.466,20.466,159.534,A,,,,,,,,,,,,,,,,
44,WT1,12,4,,-51.147,128.853,34.756,94.097,94.097,85.903,A,,,,,,,,,,,,,,,,
44,WT1,13,7,,-136.005,43.995,34.756,9.239,9.239,170.761,A,,,,,,,,,,,,,,,,
44,WT1,14,5,,-120.964,59.036,34.756,24.28,24.28,155.72,A,,,,,,,,,,,,,,,,
44,WT1,15,4,,-114.538,65.462,34.756,30.706,30.706,149.294,P,,,,,,,,,,,,,,,,
44,WT1,16,4,,-92.759,87.241,34.756,52.485,52.485,127.515,P,,,,,,,,,,,,,,,,
44,WT1,17,6,,-115.53,64.47,34.756,29.714,29.714,150.286,P,,,,,,,,,,,,,,,,
44,WT1,18,6,,-28.142,151.858,34.756,117.102,117.102,62.898,P,*Spindle rotated before division,,,,,,,,,,,,,,,
44,WT1,19,9,,-113.962,66.038,34.756,31.282,31.282,148.718,A,*Spindle rotated before division,,,,,,,,,,,,,,,
44,WT1,20,8,,-90,90,34.756,55.244,55.244,124.756,A,*Spindle rotated before division,,,,,,,,,,,,,,,
44,WT1,21,9,,-81.87,98.13,34.756,63.374,63.374,116.626,A,,,,,,,,,,,,,,,,
44,WT1,22,9,,-82.405,97.595,34.756,62.839,62.839,117.161,A,,,,,,,,,,,,,,,,
44,WT1,23,10,,-18.435,161.565,34.756,126.809,126.809,53.191,A,,,,,,,,,,,,,,,,
44,WT1,24,9,,-97.306,82.694,34.756,47.938,47.938,132.062,A,,,,,,,,,,,,,,,,
44,WT1,25,9,,-33.69,146.31,34.756,111.554,111.554,68.446,A,*Spindle rotated before division,,,,,,,,,,,,,,,
44,WT1,26,10,,16.39,16.39,34.756,-18.366,161.634,18.366,IL-A,,,,,,,,,,,,,,,,
44,WT1,27,10,,-9.462,170.538,34.756,135.782,135.782,44.218,IL-A,,,,,,,,,,,,,,,,
44,WT1,28,10,,25.821,25.821,34.756,-8.935,171.065,8.935,A,,,,,,,,,,,,,,,,
44,WT1,29,10,,-41.496,138.504,34.756,103.748,103.748,76.252,A,,,,,,,,,,,,,,,,
44,WT1,30,10,,-130.601,49.399,34.756,14.643,14.643,165.357,A,,,,,,,,,,,,,,,,
44,WT1,31,5,,-72.897,107.103,34.756,72.347,72.347,107.653,P,,,,,,,,,,,,,,,,
44,WT1,32,8,,-70.821,109.179,34.756,74.423,74.423,105.577,A,*Spindle rotated before division,,,,,,,,,,,,,,,
44,WT1,33,13,,-113.806,66.194,31.171,35.023,35.023,144.977,A,,,,,,,,,,,,,,,,
44,WT1,34,16,,30.53,30.53,31.171,-0.641,179.359,0.641,A,*Spindle rotated before division,,,,,,,,,,,,,,,
44,WT1,35,15,,-114.567,65.433,31.171,34.262,34.262,145.738,A,,,,,,,,,,,,,,,,
44,WT1,36,15,,6.789,6.789,31.171,-24.382,155.618,24.382,A,,,,,,,,,,,,,,,,
44,WT1,37,15,,-28.706,151.294,31.171,120.123,120.123,59.877,A,,,,,,,,,,,,,,,,
44,WT1,38,13,,-96.203,83.797,31.171,52.626,52.626,127.374,A,,,,,,,,,,,,,,,,
44,WT1,39,13,,-32.005,147.995,31.171,116.824,116.824,63.176,A,,,,,,,,,,,,,,,,
44,WT1,40,13,,41.424,41.424,31.171,10.253,10.253,169.747,A,*Spindle rotated before division,,,,,,,,,,,,,,,
44,WT1,41,14,,-136.397,43.603,31.171,12.432,12.432,167.568,A,,,,,,,,,,,,,,,,
44,WT1,42,14,,-144.324,35.676,31.171,4.505,4.505,175.495,A,,,,,,,,,,,,,,,,
44,WT1,43,16,,1.432,1.432,31.171,-29.739,150.261,29.739,A,*Spindle rotated before division,,,,,,,,,,,,,,,
44,WT1,44,16,,-146.659,33.341,31.171,2.17,2.17,177.83,A,,,,,,,,,,,,,,,,
