Stage,HPF at 26 deg C,Min post fertilization,WT1,,WT2 ,,WT3,,,,,,,,,,,,,,,,,,,,,,,,,
,Cells at t0,,15-16,,16,,8,,,,,,,,,,,,,,,,,,,,,,,,,
Based on Browne et al. 2005,,,Timepoint,Time from t0 (hrs),Timepoint,Time from t0 (hrs),Timepoint,Time from t0 (hrs),,,,,,,,,,,,,,,,,,,,,,,,
S4 /8-cell,8.00,480,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,8.17,490,,,,,1,0.17,,,,,,,,,,,,,,,,,,,,,,,,
,8.33,500,,,,,2,0.33,,,,,,,,,,,,,,,,,,,,,,,,
,8.50,510,,,,,3,0.50,,,,,,,,,,,,,,,,,,,,,,,,
,8.67,520,,,,,4,0.67,,,,,,,,,,,,,,,,,,,,,,,,
,8.83,530,,,,,5,0.83,,,,,,,,,,,,,,,,,,,,,,,,
S5 /16-cell,9.00,540,0,0,0,0,6,1.00,,,,,,,,,,,,,,,,,,,,,,,,
,9.17,550,1,0.17,1,0.17,7,1.17,,,,,,,,,,,,,,,,,,,,,,,,
,9.33,560,2,0.33,2,0.33,8,1.33,,,,,,,,,,,,,,,,,,,,,,,,
,9.50,570,3,0.50,3,0.50,9,1.50,,,,,,,,,,,,,,,,,,,,,,,,
,9.67,580,4,0.67,4,0.67,10,1.67,,,,,,,,,,,,,,,,,,,,,,,,
,9.83,590,5,0.83,5,0.83,11,1.83,,,,,,,,,,,,,,,,,,,,,,,,
,10.00,600,6,1.00,6,1.00,12,2.00,,,,,,,,,,,,,,,,,,,,,,,,
,10.17,610,7,1.17,7,1.17,13,2.17,,,,,,,,,,,,,,,,,,,,,,,,
,10.33,620,8,1.33,8,1.33,14,2.33,,,,,,,,,,,,,,,,,,,,,,,,
,10.50,630,9,1.50,9,1.50,15,2.50,,,,,,,,,,,,,,,,,,,,,,,,
,10.67,640,10,1.67,10,1.67,16,2.67,,,,,,,,,,,,,,,,,,,,,,,,
,10.83,650,11,1.83,11,1.83,17,2.83,,,,,,,,,,,,,,,,,,,,,,,,
,11.00,660,12,2.00,12,2.00,18,3.00,,,,,,,,,,,,,,,,,,,,,,,,
,11.17,670,13,2.17,13,2.17,19,3.17,,,,,,,,,,,,,,,,,,,,,,,,
,11.33,680,14,2.33,14,2.33,20,3.33,,,,,,,,,,,,,,,,,,,,,,,,
,11.50,690,15,2.50,15,2.50,21,3.50,,,,,,,,,,,,,,,,,,,,,,,,
,11.67,700,16,2.67,16,2.67,22,3.67,,,,,,,,,,,,,,,,,,,,,,,,
,11.83,710,17,2.83,17,2.83,23,3.83,,,,,,,,,,,,,,,,,,,,,,,,
S6 /soccer ball,12.00,720,18,3.00,18,3.00,24,4.00,,,,,,,,,,,,,,,,,,,,,,,,
,12.17,730,19,3.17,19,3.17,25,4.17,,,,,,,,,,,,,,,,,,,,,,,,
,12.33,740,20,3.33,20,3.33,26,4.33,,,,,,,,,,,,,,,,,,,,,,,,
,12.50,750,21,3.50,21,3.50,27,4.50,,,,,,,,,,,,,,,,,,,,,,,,
,12.67,760,22,3.67,22,3.67,28,4.67,,,,,,,,,,,,,,,,,,,,,,,,
,12.83,770,23,3.83,23,3.83,29,4.83,,,,,,,,,,,,,,,,,,,,,,,,
,13.00,780,24,4.00,24,4.00,30,5.00,,,,,,,,,,,,,,,,,,,,,,,,
,13.17,790,25,4.17,25,4.17,31,5.17,,,,,,,,,,,,,,,,,,,,,,,,
,13.33,800,26,4.33,26,4.33,32,5.33,,,,,,,,,,,,,,,,,,,,,,,,
,13.50,810,27,4.50,27,4.50,33,5.50,,,,,,,,,,,,,,,,,,,,,,,,
,13.67,820,28,4.67,28,4.67,34,5.67,,,,,,,,,,,,,,,,,,,,,,,,
,13.83,830,29,4.83,29,4.83,35,5.83,,,,,,,,,,,,,,,,,,,,,,,,
,14.00,840,30,5.00,30,5.00,36,6.00,,,,,,,,,,,,,,,,,,,,,,,,
,14.17,850,31,5.17,31,5.17,37,6.17,,,,,,,,,,,,,,,,,,,,,,,,
,14.33,860,32,5.33,32,5.33,38,6.33,,,,,,,,,,,,,,,,,,,,,,,,
,14.50,870,33,5.50,33,5.50,39,6.50,,,,,,,,,,,,,,,,,,,,,,,,
,14.67,880,34,5.67,34,5.67,40,6.67,,,,,,,,,,,,,,,,,,,,,,,,
,14.83,890,35,5.83,35,5.83,41,6.83,,,,,,,,,,,,,,,,,,,,,,,,
,15.00,900,36,6.00,36,6.00,42,7.00,,,,,,,,,,,,,,,,,,,,,,,,
,15.17,910,37,6.17,37,6.17,43,7.17,,,,,,,,,,,,,,,,,,,,,,,,
,15.33,920,38,6.33,38,6.33,44,7.33,,,,,,,,,,,,,,,,,,,,,,,,
,15.50,930,39,6.50,39,6.50,45,7.50,,,,,,,,,,,,,,,,,,,,,,,,
,15.67,940,40,6.67,40,6.67,46,7.67,,,,,,,,,,,,,,,,,,,,,,,,
,15.83,950,41,6.83,41,6.83,47,7.83,,,,,,,,,,,,,,,,,,,,,,,,
,16.00,960,42,7.00,42,7.00,48,8.00,,,,,,,,,,,,,,,,,,,,,,,,
,16.17,970,43,7.17,43,7.17,49,8.17,,,,,,,,,,,,,,,,,,,,,,,,
,16.33,980,44,7.33,44,7.33,50,8.33,,,,,,,,,,,,,,,,,,,,,,,,
,16.50,990,45,7.50,45,7.50,51,8.50,,,,,,,,,,,,,,,,,,,,,,,,
,16.67,1000,46,7.67,46,7.67,52,8.67,,,,,,,,,,,,,,,,,,,,,,,,
,16.83,1010,47,7.83,47,7.83,53,8.83,,,,,,,,,,,,,,,,,,,,,,,,
,17.00,1020,48,8.00,48,8.00,54,9.00,,,,,,,,,,,,,,,,,,,,,,,,
,17.17,1030,49,8.17,49,8.17,55,9.17,,,,,,,,,,,,,,,,,,,,,,,,
,17.33,1040,50,8.33,50,8.33,56,9.33,,,,,,,,,,,,,,,,,,,,,,,,
,17.50,1050,51,8.50,51,8.50,57,9.50,,,,,,,,,,,,,,,,,,,,,,,,
,17.67,1060,52,8.67,52,8.67,58,9.67,,,,,,,,,,,,,,,,,,,,,,,,
